policy_text,label
The Departmental Reporting Format Regulation introduces minor regulatory adjustments to administrative workflows in Kerala.,Low Impact
The Departmental Reporting Format Regulation regulates administrative procedures and operational guidelines for departments in Andhra Pradesh.,Low Impact
The Urban Traffic Management Amendment regulates administrative procedures and operational guidelines for departments in Karnataka.,Low Impact
The Digital Personal Data Protection Act mandates public disclosure of government records and improves transparency in Haryana.,High Impact
The Motor Vehicles Act amendment on vehicle registration introduces minor regulatory adjustments to administrative workflows in West Bengal.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Haryana under the Public Records Access Reform Act.,High Impact
"Under the Lokpal and Lokayuktas Act, all government departments must release public data to citizens in Gujarat.",High Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Assam under the Public Records Access Reform Act.,High Impact
The Motor Vehicles Act amendment on vehicle registration modifies internal administrative processes and documentation standards in Karnataka.,Low Impact
The Open Government Data Policy introduces digital portals for public monitoring of government spending in Odisha.,High Impact
The Lokpal and Lokayuktas Act enhances transparency standards and civic oversight across administrative bodies in Haryana.,High Impact
The Administrative Procedure Simplification Bill regulates administrative procedures and operational guidelines for departments in Madhya Pradesh.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Gujarat.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Telangana under the Whistle Blowers Protection Act.,High Impact
The Government Office Attendance Rule Update regulates administrative procedures and operational guidelines for departments in Bihar.,Low Impact
