policy_text,policy_area,ministry,year,public_sentiment,impact_label
The policy updates documentation rules related to education offices.,education,Ministry of Agriculture and Farmers Welfare,2020,Negative,Low Impact
Local authorities revised guidelines for handling public safety records.,public safety,Ministry of Social Justice and Empowerment,2024,Negative,Low Impact
The government launches a nationwide digital governance reform program affecting millions of citizens.,digital governance,"Ministry of Environment, Forest and Climate Change",2019,Neutral,High Impact
A new national policy improves access to education services across multiple states.,education,"Ministry of Environment, Forest and Climate Change",2012,Positive,High Impact
A routine regulation modifies internal operations in the urban development sector.,urban development,Ministry of Social Justice and Empowerment,2013,Negative,Low Impact
Local authorities revised guidelines for handling agriculture records.,agriculture,Ministry of Road Transport and Highways,2013,Negative,Low Impact
The central government introduces a large-scale initiative to modernize education.,education,Ministry of Health and Family Welfare,2005,Neutral,High Impact
Major legislation expands funding and infrastructure for health development.,health,Ministry of Health and Family Welfare,2006,Neutral,High Impact
Small procedural adjustments were made in the management of education programs.,education,Ministry of Home Affairs,2006,Negative,Low Impact
Minor administrative changes were introduced in local health department procedures.,health,"Ministry of Environment, Forest and Climate Change",2019,Neutral,Low Impact
Minor administrative changes were introduced in local employment department procedures.,employment,"Ministry of Environment, Forest and Climate Change",2022,Negative,Low Impact
Local authorities revised guidelines for handling agriculture records.,agriculture,Ministry of Social Justice and Empowerment,2009,Neutral,Low Impact
A routine regulation modifies internal operations in the transport sector.,transport,"Ministry of Environment, Forest and Climate Change",2006,Negative,Low Impact
Minor administrative changes were introduced in local health department procedures.,health,Ministry of Home Affairs,2014,Neutral,Low Impact
The government launches a nationwide education reform program affecting millions of citizens.,education,Ministry of Social Justice and Empowerment,2016,Neutral,High Impact
Small procedural adjustments were made in the management of social welfare programs.,social welfare,Ministry of Housing and Urban Affairs,2012,Negative,Low Impact
Major legislation expands funding and infrastructure for agriculture development.,agriculture,Ministry of Social Justice and Empowerment,2005,Neutral,High Impact
A comprehensive reform significantly improves public access to environment services.,environment,Ministry of Social Justice and Empowerment,2016,Neutral,High Impact
A new national policy improves access to digital governance services across multiple states.,digital governance,Ministry of Road Transport and Highways,2017,Positive,High Impact
Minor administrative changes were introduced in local health department procedures.,health,Ministry of Health and Family Welfare,2008,Negative,Low Impact
Major legislation expands funding and infrastructure for employment development.,employment,Ministry of Social Justice and Empowerment,2010,Neutral,High Impact
